"0173570_MCF7","ACKR3",0
"0173570_MCF7","BAG1",1
"0173570_MCF7","BDKRB2",1
"0173570_MCF7","CLDN9",0
"0173570_MCF7","CRLF1",0
"0173570_MCF7","DLX2",0
"0173570_MCF7","FAM114A1",1
"0173570_MCF7","MSMO1",0
"0173570_MCF7","PDGFRL",1
"0173570_MCF7","RFPL3",1
"0173570_PC3","ADORA2B",0
"0173570_PC3","ADRB2",0
"0173570_PC3","AVPI1",1
"0173570_PC3","C11orf68",0
"0173570_PC3","CD55",1
"0173570_PC3","CHAC1",1
"0173570_PC3","GRAMD1B",1
"0173570_PC3","INSIG1",0
"0173570_PC3","MTCL1",1
"0173570_PC3","SIM2",0
"0175029_MCF7","DENND1A",1
"0175029_MCF7","GSN",1
"0175029_MCF7","HIST1H4J",1
"0175029_MCF7","HIST1H4K",1
"0175029_MCF7","MEPCE",0
"0175029_MCF7","PRR15L",0
"0175029_MCF7","SAP130",0
"0175029_MCF7","SAT1",1
"0175029_MCF7","SUOX",0
"0175029_MCF7","WDR5B",0
"0175029_PC3","CEP55",0
"0175029_PC3","GINS1",0
"0175029_PC3","HIST1H2BD",1
"0175029_PC3","METTL1",0
"0175029_PC3","RBM15B",0
"0175029_PC3","SRSF3",0
"0175029_PC3","TMEM183A",1
"0175029_PC3","TMEM183B",1
"0175029_PC3","UBE2L3",1
"0175029_PC3","ZNF580",1
"0179445_MCF7","CTPS1",0
"0179445_MCF7","DDIT4",1
"0179445_MCF7","EXO1",0
"0179445_MCF7","GMNN",0
"0179445_MCF7","IL1RAPL2",1
"0179445_MCF7","PAQR4",0
"0179445_MCF7","PFDN2",1
"0179445_MCF7","S100A4",1
"0179445_MCF7","TEX40",1
"0179445_MCF7","TMEM177",0
"0179445_PC3","CXCL6",1
"0179445_PC3","CYP51A1",1
"0179445_PC3","DONSON",0
"0179445_PC3","DTL",0
"0179445_PC3","EGLN1",1
"0179445_PC3","LAMTOR3",1
"0179445_PC3","MCM6",0
"0179445_PC3","MELK",0
"0179445_PC3","PLEKHA2",1
"0179445_PC3","RAD51",0
"0198306_MCF7","ANPEP",1
"0198306_MCF7","CABYR",1
"0198306_MCF7","CYP1A1",1
"0198306_MCF7","DUSP4",0
"0198306_MCF7","ELF3",1
"0198306_MCF7","GNGT1",1
"0198306_MCF7","HDAC4",0
"0198306_MCF7","MARCH3",0
"0198306_MCF7","SIDT1",0
"0198306_MCF7","SOWAHC",0
"0198306_PC3","BNIP3",0
"0198306_PC3","EGLN1",0
"0198306_PC3","FZD10",1
"0198306_PC3","HIST1H2BG",0
"0198306_PC3","ITIH2",1
"0198306_PC3","ITPR1",0
"0198306_PC3","PHLDA3",1
"0198306_PC3","RIT1",0
"0198306_PC3","SETD1A",1
"0198306_PC3","SPSB1",1
"0225151_PC3","CCIN",1
"0225151_PC3","CYR61",0
"0225151_PC3","DSC2",1
"0225151_PC3","KLHL24",1
"0225151_PC3","NOD1",1
"0225151_PC3","PMEPA1",0
"0225151_PC3","PPP1R13L",0
"0225151_PC3","PRKCE",0
"0225151_PC3","TIPARP",0
"0225151_PC3","TTC26",1
"0297417_MCF7","CALHM2",1
"0297417_MCF7","CCNE2",0
"0297417_MCF7","CTPS1",0
"0297417_MCF7","DSCAM",1
"0297417_MCF7","HIST2H2BE",1
"0297417_MCF7","KLF7",1
"0297417_MCF7","KLHL24",1
"0297417_MCF7","MCM10",0
"0297417_MCF7","SPC25",0
"0297417_MCF7","TIPIN",0
"0316684_MCF7","AIM1",1
"0316684_MCF7","CALHM2",0
"0316684_MCF7","DUSP4",0
"0316684_MCF7","EPHA2",0
"0316684_MCF7","IER5",0
"0316684_MCF7","LYN",1
"0316684_MCF7","MAFB",1
"0316684_MCF7","RASGRP1",0
"0316684_MCF7","SLC24A3",1
"0316684_MCF7","TESK2",1
"0316684_PC3","ABI3BP",0
"0316684_PC3","BACH2",0
"0316684_PC3","COG7",0
"0316684_PC3","FABP4",1
"0316684_PC3","FDXR",0
"0316684_PC3","MAP4K3",1
"0316684_PC3","PLD2",1
"0316684_PC3","RAB40AL",1
"0316684_PC3","SNHG17",1
"0316684_PC3","ST5",0
"0317956_MCF7","CALHM2",0
"0317956_MCF7","DUSP4",0
"0317956_MCF7","EGR3",0
"0317956_MCF7","GPER1",1
"0317956_MCF7","PFKFB3",0
"0317956_MCF7","RFX5",1
"0317956_MCF7","SELENBP1",1
"0317956_MCF7","SOCS2",1
"0317956_MCF7","SPRED2",0
"0317956_MCF7","SULF1",1
"0317956_PC3","AQP5",0
"0317956_PC3","AQP9",1
"0317956_PC3","CUZD1",0
"0317956_PC3","GRTP1",1
"0317956_PC3","HSPB2",0
"0317956_PC3","OSBPL3",1
"0317956_PC3","PIK3C2B",1
"0317956_PC3","SH3BP1",1
"0317956_PC3","SLC16A3",0
"0317956_PC3","TRAF4",0
"5155877_MCF7","ELF3",0
"5155877_MCF7","GCLM",1
"5155877_MCF7","HMOX1",1
"5155877_MCF7","MAFG",1
"5155877_MCF7","MIR22HG",1
"5155877_MCF7","NR2F2",0
"5155877_MCF7","PP14571",0
"5155877_MCF7","RGS16",0
"5155877_MCF7","TNS3",0
"5155877_MCF7","TRIM16",1
"5155877_PC3","AKR1B10",1
"5155877_PC3","ANGPTL4",1
"5155877_PC3","COL5A2",0
"5155877_PC3","FABP4",1
"5155877_PC3","HIST1H3H",0
"5155877_PC3","PHLDA3",1
"5155877_PC3","PLK2",0
"5155877_PC3","RGS2",0
"5155877_PC3","SPRY1",0
"5155877_PC3","TRIM16",1
"5182598_MCF7","AKR1C1",1
"5182598_MCF7","AKR1C2",1
"5182598_MCF7","ARID5B",0
"5182598_MCF7","ARMCX1",0
"5182598_MCF7","CTDSP1",0
"5182598_MCF7","HMOX1",1
"5182598_MCF7","PEX11A",0
"5182598_MCF7","SLC7A11",1
"5182598_MCF7","TXNRD1",1
"5182598_MCF7","VAV3",0
"5194442_MCF7","AKR1C1",1
"5194442_MCF7","AKR1C2",1
"5194442_MCF7","AKR1C3",1
"5194442_MCF7","DBNDD1",0
"5194442_MCF7","HMOX1",1
"5194442_MCF7","KDELR1",0
"5194442_MCF7","OSGIN1",1
"5194442_MCF7","SH3GLB2",0
"5194442_MCF7","SYTL2",0
"5194442_MCF7","TXNIP",0
"5194442_PC3","AKR1C3",1
"5194442_PC3","COL5A2",0
"5194442_PC3","DPY19L2P2",0
"5194442_PC3","HMOX1",1
"5194442_PC3","HSPA1A",1
"5194442_PC3","IL1B",0
"5194442_PC3","PTX3",0
"5194442_PC3","RGS2",0
"5194442_PC3","SLC7A11",1
"5194442_PC3","TRIM16",1
"5211181_MCF7","ADRA2A",0
"5211181_MCF7","ALDH1A3",1
"5211181_MCF7","ATF3",1
"5211181_MCF7","CDH22",1
"5211181_MCF7","CYP1A1",1
"5211181_MCF7","CYP1B1",1
"5211181_MCF7","CYP4F12",0
"5211181_MCF7","EGR3",0
"5211181_MCF7","SNPH",0
"5211181_MCF7","SYNDIG1",0
"5224221_MCF7","ATF3",1
"5224221_MCF7","CBFA2T3",0
"5224221_MCF7","EGR3",0
"5224221_MCF7","ERCC6L",0
"5224221_MCF7","GADD45A",1
"5224221_MCF7","HMOX1",1
"5224221_MCF7","NFIL3",1
"5224221_MCF7","NR2F2",0
"5224221_MCF7","PEX11A",0
"5224221_MCF7","TRIB3",1
"5230742_MCF7","ALDH1A3",1
"5230742_MCF7","CBFA2T3",0
"5230742_MCF7","CYP1A1",1
"5230742_MCF7","CYP1B1",1
"5230742_MCF7","EGR3",0
"5230742_MCF7","NPIPA5",1
"5230742_MCF7","NPIPA8",1
"5230742_MCF7","PDZK1",0
"5230742_MCF7","PEX11A",0
"5230742_MCF7","SECISBP2L",0
"5248896_MCF7","ARID5B",0
"5248896_MCF7","ARL4A",0
"5248896_MCF7","ARMCX3",0
"5248896_MCF7","CCND1",0
"5248896_MCF7","CYP1A1",1
"5248896_MCF7","CYP1B1",1
"5248896_MCF7","CYP26A1",1
"5248896_MCF7","EGR3",0
"5248896_MCF7","ELF3",1
"5248896_MCF7","HOXA5",1
"5252917_MCF7","CRISPLD2",1
"5252917_MCF7","CYP1A1",1
"5252917_MCF7","CYP1B1",1
"5252917_MCF7","DTL",0
"5252917_MCF7","HIST1H2AC",0
"5252917_MCF7","HJURP",1
"5252917_MCF7","RBM14",0
"5252917_MCF7","ST3GAL1",1
"5252917_MCF7","TUBB",0
"5252917_MCF7","TUBB2A",0
"5253409_MCF7","ATF3",1
"5253409_MCF7","DNAJB1",1
"5253409_MCF7","ERCC6L",0
